order_id,order_date,customer_id,product_name,category,quantity,price,country
2000,2024-01-12,1015,Wireless Mouse,Electronics,3,25.5,USA
2001,2024-02-27,1018,Ergonomic Mouse Pad,Accessories,1,18,Australia
2002,2024-05-19,1012,Webcam HD,Electronics,4,60,India
2003,2024-01-08,1012,Laptop Stand,Accessories,2,40,Canada
2004,2024-06-03,1004,External Hard Drive,Electronics,2,120,Australia
2005,2024-06-15,1090,External Hard Drive,Electronics,4,120,USA
2006,2024-04-24,1076,24 inch Monitor,Electronics,1,220,Singapore
2007,2024-02-10,1090,Bluetooth Headphones,Electronics,3,95,UK
2008,2024-02-09,1028,USB-C Cable,Accessories,1,12,India
2009,2024-04-07,1013,USB-C Cable,Accessories,3,12,Canada
2010,2024-03-08,1006,Ergonomic Mouse Pad,Accessories,4,18,Canada
2011,2024-02-01,1049,Gaming Keyboard,Electronics,5,70,UK
2012,2024-06-09,1080,USB-C Cable,Accessories,5,12,USA
2013,2024-06-29,1009,Wireless Mouse,Electronics,2,25.5,Singapore
2014,2024-03-15,1011,Laptop Stand,Accessories,1,40,Germany
2015,2024-03-12,1059,Mechanical Keyboard,Electronics,3,110,USA
2016,2024-04-04,1046,Laptop Stand,Accessories,3,40,Australia
2017,2024-06-23,1083,Gaming Keyboard,Electronics,5,70,Australia
2018,2024-02-13,1069,Ergonomic Mouse Pad,Accessories,2,18,USA
2019,2024-04-28,1049,24 inch Monitor,Electronics,5,220,USA
2020,2024-06-24,1042,Wireless Mouse,Electronics,2,25.5,Singapore
2021,2024-01-09,1041,Bluetooth Headphones,Electronics,3,95,India
2022,2024-02-24,1073,Ergonomic Mouse Pad,Accessories,3,18,USA
2023,2024-06-16,1064,Bluetooth Headphones,Electronics,4,95,USA
2024,2024-03-08,1018,Laptop Stand,Accessories,5,40,Canada
2025,2024-03-08,1096,Webcam HD,Electronics,4,60,Canada
2026,2024-04-12,1047,Laptop Stand,Accessories,2,40,Canada
2027,2024-05-06,1012,Wireless Mouse,Electronics,1,25.5,USA
2028,2024-06-09,1021,Mechanical Keyboard,Electronics,4,110,Canada
2029,2024-01-17,1050,Bluetooth Headphones,Electronics,5,95,Germany
2030,2024-05-15,1033,External Hard Drive,Electronics,1,120,Australia
2031,2024-01-30,1088,External Hard Drive,Electronics,3,120,Singapore
2032,2024-06-13,1044,Gaming Keyboard,Electronics,3,70,Germany
2033,2024-02-10,1059,Wireless Mouse,Electronics,3,25.5,Canada
2034,2024-02-15,1065,Gaming Keyboard,Electronics,3,70,Singapore
2035,2024-06-12,1065,Webcam HD,Electronics,2,60,USA
2036,2024-04-05,1098,Office Chair,Furniture,5,150,Singapore
2037,2024-05-15,1001,Webcam HD,Electronics,3,60,Germany
2038,2024-01-05,1015,USB-C Cable,Accessories,3,12,USA
2039,2024-01-15,1031,Webcam HD,Electronics,1,60,India
2040,2024-05-04,1009,External Hard Drive,Electronics,2,120,USA
2041,2024-06-17,1061,External Hard Drive,Electronics,2,120,UK
2042,2024-05-15,1078,Bluetooth Headphones,Electronics,2,95,Canada
2043,2024-06-25,1026,Ergonomic Mouse Pad,Accessories,3,18,Germany
2044,2024-06-20,1084,USB-C Cable,Accessories,4,12,Canada
2045,2024-04-25,1016,Laptop Stand,Accessories,2,40,India
2046,2024-03-27,1003,Webcam HD,Electronics,5,60,USA
2047,2024-05-30,1029,Wireless Mouse,Electronics,1,25.5,Australia
2048,2024-06-10,1008,Laptop Stand,Accessories,1,40,India
2049,2024-03-25,1010,External Hard Drive,Electronics,2,120,UK
2050,2024-06-20,1063,Laptop Stand,Accessories,5,40,USA
2051,2024-05-26,1074,Desk Lamp,Furniture,2,35,Singapore
2052,2024-05-01,1053,Laptop Stand,Accessories,1,40,India
2053,2024-06-17,1056,USB-C Cable,Accessories,4,12,Germany
2054,2024-04-29,1094,Wireless Mouse,Electronics,1,25.5,India
2055,2024-04-13,1094,USB-C Cable,Accessories,1,12,USA
2056,2024-02-19,1025,External Hard Drive,Electronics,4,120,USA
2057,2024-04-18,1024,24 inch Monitor,Electronics,4,220,USA
2058,2024-01-20,1057,External Hard Drive,Electronics,1,120,India
2059,2024-06-15,1070,Wireless Mouse,Electronics,1,25.5,Singapore
2060,2024-03-01,1022,Bluetooth Headphones,Electronics,4,95,Germany
2061,2024-02-24,1052,Wireless Mouse,Electronics,2,25.5,Germany
2062,2024-01-01,1050,24 inch Monitor,Electronics,4,220,UK
2063,2024-04-18,1090,Ergonomic Mouse Pad,Accessories,5,18,Australia
2064,2024-05-04,1020,Laptop Stand,Accessories,3,40,USA
2065,2024-01-15,1075,Ergonomic Mouse Pad,Accessories,5,18,India
2066,2024-03-21,1008,Wireless Mouse,Electronics,5,25.5,Germany
2067,2024-05-08,1068,Office Chair,Furniture,1,150,Canada
2068,2024-01-21,1024,Gaming Keyboard,Electronics,5,70,India
2069,2024-06-21,1031,Bluetooth Headphones,Electronics,1,95,Canada
2070,2024-03-04,1075,Webcam HD,Electronics,1,60,Canada
2071,2024-01-21,1054,Mechanical Keyboard,Electronics,5,110,Canada
2072,2024-05-13,1041,24 inch Monitor,Electronics,2,220,Australia
2073,2024-03-21,1031,24 inch Monitor,Electronics,4,220,USA
2074,2024-06-20,1083,24 inch Monitor,Electronics,4,220,UK
2075,2024-01-19,1002,Desk Lamp,Furniture,5,35,Canada
2076,2024-01-26,1010,External Hard Drive,Electronics,2,120,Canada
2077,2024-03-08,1017,USB-C Cable,Accessories,1,12,USA
2078,2024-04-04,1037,Office Chair,Furniture,4,150,Singapore
2079,2024-05-19,1091,24 inch Monitor,Electronics,5,220,Singapore
2080,2024-06-16,1068,Wireless Mouse,Electronics,5,25.5,UK
2081,2024-06-18,1014,Office Chair,Furniture,3,150,India
2082,2024-01-28,1096,External Hard Drive,Electronics,2,120,UK
2083,2024-03-13,1078,Laptop Stand,Accessories,3,40,USA
2084,2024-06-24,1082,24 inch Monitor,Electronics,5,220,Germany
2085,2024-03-05,1007,Gaming Keyboard,Electronics,4,70,Singapore
2086,2024-03-11,1006,Wireless Mouse,Electronics,3,25.5,Singapore
2087,2024-02-03,1082,24 inch Monitor,Electronics,2,220,Australia
2088,2024-04-23,1071,Ergonomic Mouse Pad,Accessories,4,18,Canada
2089,2024-01-03,1015,Gaming Keyboard,Electronics,2,70,Canada
2090,2024-01-10,1048,Webcam HD,Electronics,5,60,USA
2091,2024-04-20,1017,Wireless Mouse,Electronics,3,25.5,UK
2092,2024-01-11,1046,Laptop Stand,Accessories,2,40,Australia
2093,2024-01-27,1046,External Hard Drive,Electronics,4,120,Canada
2094,2024-02-09,1031,Office Chair,Furniture,2,150,Germany
2095,2024-01-07,1023,Ergonomic Mouse Pad,Accessories,3,18,Singapore
2096,2024-04-15,1086,Ergonomic Mouse Pad,Accessories,2,18,UK
2097,2024-02-10,1090,Gaming Keyboard,Electronics,4,70,Singapore
2098,2024-01-10,1061,Laptop Stand,Accessories,2,40,Singapore
2099,2024-04-27,1045,24 inch Monitor,Electronics,2,220,USA
2100,2024-01-07,1085,Laptop Stand,Accessories,4,40,UK
2101,2024-03-12,1009,24 inch Monitor,Electronics,3,220,Australia
2102,2024-05-10,1052,Mechanical Keyboard,Electronics,5,110,UK
2103,2024-01-08,1015,24 inch Monitor,Electronics,2,220,Canada
2104,2024-03-08,1005,Gaming Keyboard,Electronics,5,70,Germany
2105,2024-03-29,1094,USB-C Cable,Accessories,4,12,Canada
2106,2024-05-10,1015,Bluetooth Headphones,Electronics,5,95,USA
2107,2024-03-06,1006,Ergonomic Mouse Pad,Accessories,4,18,India
2108,2024-05-13,1069,Mechanical Keyboard,Electronics,2,110,UK
2109,2024-04-20,1009,Mechanical Keyboard,Electronics,3,110,Canada
